vin;dealer_id;condition;make;model;trim;year;mileage_km;color;price_rub;status;owners;accident_history;location;arrived_at;reserved_until;ready_at;eta;sold_at;photos
TESTAG00000000001;dc-north;new;Aurora;X3;Base;2026;12;белый;2490000;in_stock;0;нет;площадка;2026-08-11;;;;;14
TESTAG00000000002;dc-north;new;Aurora;X3;Base;2026;12;серый;2490000;in_stock;0;нет;площадка;2026-08-12;;;;;14
TESTAG00000000003;dc-north;new;Aurora;X3;Base;2026;12;чёрный;2490000;in_stock;0;нет;площадка;2026-08-13;;;;;14
TESTAG00000000004;dc-north;new;Aurora;X3;Comfort;2026;12;серый;2790000;in_stock;0;нет;площадка;2026-08-14;;;;;14
TESTAG00000000005;dc-north;new;Aurora;X3;Comfort;2026;12;чёрный;2790000;in_stock;0;нет;площадка;2026-08-15;;;;;14
TESTAG00000000006;dc-north;new;Aurora;X3;Style;2026;12;синий;2990000;in_transit;0;нет;в пути;2026-08-16;;;2026-09-25;;14
TESTAG00000000007;dc-north;new;Aurora;X5;Comfort;2026;12;белый;2890000;in_stock;0;нет;площадка;2026-08-17;;;;;14
TESTAG00000000008;dc-north;new;Aurora;X5;Comfort;2026;12;серый;2890000;in_stock;0;нет;площадка;2026-08-18;;;;;14
TESTAG00000000009;dc-north;new;Aurora;X5;Style;2026;12;чёрный;3290000;in_stock;0;нет;площадка;2026-08-19;;;;;14
TESTAG00000000010;dc-north;new;Aurora;X5;Style;2026;12;синий;3290000;in_stock;0;нет;площадка;2026-08-20;;;;;14
TESTAG00000000011;dc-north;new;Aurora;X5;Prestige;2026;12;серебристый;3690000;reserved;0;нет;площадка;2026-08-21;2026-09-14;;;;14
TESTAG00000000012;dc-north;new;Aurora;S7;Style;2026;12;чёрный;3990000;in_stock;0;нет;площадка;2026-08-22;;;;;14
TESTAG00000000013;dc-north;new;Aurora;S7;Prestige;2026;12;белый;4890000;prep;0;нет;предпродажка;2026-08-23;;2026-09-13;;;14
